user_id,username,frequency,avg_message_length,total_messages,url_ratio,repetition_ratio,time_in_channel,suspicious_links,generic_name,username_length,has_numbers,has_underscore,numeric_ratio,uppercase_ratio,special_char_count,is_bot
14571583,alevidallet,0.00819672131147541,61.0,1,1.0,1.0,122,0,0,11,0,0,0.0,0.0,0,1
31786811,Mamamel,0.00684931506849315,18.0,1,0.0,1.0,146,0,0,7,0,0,0.0,0.14285714285714285,0,0
81728471,ddu10,0.057692307692307696,61.166666666666664,12,0.9166666666666666,2.0,208,0,0,5,1,0,0.4,0.0,0,1
80625623,ariadnaa00,0.04395604395604396,69.0,4,1.0,4.0,91,0,0,10,1,0,0.2,0.0,0,1
79474351,cviento,0.030303030303030304,64.0,1,0.0,1.0,33,0,0,7,0,0,0.0,0.0,0,0
63534649,Lautaro_RBL,0.11538461538461539,62.666666666666664,15,1.0,7.5,130,0,0,11,0,1,0.0,0.36363636363636365,1,1
13585611,ciromandri,0.004524886877828055,27.0,1,0.0,1.0,221,0,0,10,0,0,0.0,0.0,0,0
7350669,eldilaa,0.02631578947368421,17.0,1,0.0,1.0,38,0,0,7,0,0,0.0,0.0,0,0
81576299,bardera_67,0.2275449101796407,44.63157894736842,38,0.9736842105263158,2.7142857142857144,167,0,0,10,1,1,0.2,0.0,1,1
56114003,david9990a,0.2288135593220339,84.74074074074075,27,1.0,3.857142857142857,118,0,0,10,1,0,0.4,0.0,0,1
64764396,benjiespin,0.7647058823529411,53.23076923076923,13,1.0,6.5,17,0,0,10,0,0,0.0,0.0,0,1
80626074,ambs2084,0.03333333333333333,53.0,3,1.0,3.0,90,0,0,8,1,0,0.5,0.0,0,1
80626074,ambs2084,0.03333333333333333,53.0,3,1.0,3.0,90,0,0,8,1,0,0.5,0.0,0,1
32082486,TnL04,0.013100436681222707,14.0,3,0.0,3.0,229,0,0,5,1,0,0.4,0.4,0,0
26960361,Sefuroi,0.008733624454148471,20.0,2,0.0,1.0,229,0,0,7,0,0,0.0,0.14285714285714285,0,0
80625623,ariadnaa00,0.04395604395604396,69.0,4,1.0,4.0,91,0,0,10,1,0,0.2,0.0,0,1
74957643,jereeelpr,0.03225806451612903,73.0,1,0.0,1.0,31,0,0,9,0,0,0.0,0.0,0,0
38886495,Salemerka,0.01282051282051282,18.0,2,0.0,2.0,156,0,0,9,0,0,0.0,0.1111111111111111,0,0
29665550,horivillarreal,0.00909090909090909,3.0,1,0.0,1.0,110,0,0,14,0,0,0.0,0.0,0,0
54657442,PabloCostaa,0.37,42.83783783783784,37,0.7027027027027027,6.166666666666667,100,0,0,11,0,0,0.0,0.18181818181818182,0,1
31530316,juanmili,0.006493506493506494,16.0,1,0.0,1.0,154,0,0,8,0,0,0.0,0.0,0,0
79889064,gonzaarriagada12,0.014218009478672985,18.0,3,0.0,3.0,211,0,0,16,1,0,0.125,0.0,0,0
79548796,dragonmaster98,0.031007751937984496,129.75,4,0.75,2.0,129,0,0,14,1,0,0.14285714285714285,0.0,0,1
82254858,lukki_strike,0.17857142857142858,19.8,5,0.0,1.0,28,0,0,12,0,1,0.0,0.0,1,0
56338145,sofiii11pp,0.5652173913043478,38.02564102564103,39,1.0,19.5,69,0,0,10,1,0,0.2,0.0,0,1
66266461,bryamnz01,0.05263157894736842,18.0,2,0.0,2.0,38,0,0,9,1,0,0.2222222222222222,0.0,0,0
31967436,Margie91,0.005434782608695652,6.0,1,0.0,1.0,184,0,0,8,1,0,0.25,0.125,0,0
54657442,PabloCostaa,0.37,42.83783783783784,37,0.7027027027027027,6.166666666666667,100,0,0,11,0,0,0.0,0.18181818181818182,0,1
81576299,bardera_67,0.2275449101796407,44.63157894736842,38,0.9736842105263158,2.7142857142857144,167,0,0,10,1,1,0.2,0.0,1,1
73062028,LaTiaMernosketti,0.14285714285714285,24.75,4,0.0,1.0,28,0,0,16,0,0,0.0,0.1875,0,0
26604393,PetaXJ,0.1111111111111111,30.0,1,0.0,1.0,9,0,0,6,0,0,0.0,0.5,0,0
31994924,Labandejamktt,0.017857142857142856,75.0,1,1.0,1.0,56,0,0,13,0,0,0.0,0.07692307692307693,0,1
31475163,Xi4lex,0.009009009009009009,18.0,2,0.0,2.0,222,0,0,6,1,0,0.16666666666666666,0.16666666666666666,0,0
64764396,benjiespin,0.7647058823529411,53.23076923076923,13,1.0,6.5,17,0,0,10,0,0,0.0,0.0,0,1
79548796,dragonmaster98,0.031007751937984496,129.75,4,0.75,2.0,129,0,0,14,1,0,0.14285714285714285,0.0,0,1
56338145,sofiii11pp,0.5652173913043478,38.02564102564103,39,1.0,19.5,69,0,0,10,1,0,0.2,0.0,0,1
37509393,guadavacaa,0.0055248618784530384,18.0,1,0.0,1.0,181,0,0,10,0,0,0.0,0.0,0,0
32181273,antoquieremilanesas,0.2,25.0,1,0.0,1.0,5,0,0,19,0,0,0.0,0.0,0,0
81728471,ddu10,0.057692307692307696,61.166666666666664,12,0.9166666666666666,2.0,208,0,0,5,1,0,0.4,0.0,0,1
56338145,sofiii11pp,0.5652173913043478,38.02564102564103,39,1.0,19.5,69,0,0,10,1,0,0.2,0.0,0,1
17860540,sonaldinho2414,0.021739130434782608,7.0,1,0.0,1.0,46,0,0,14,1,0,0.2857142857142857,0.0,0,0
24857872,andrex091,0.005076142131979695,18.0,1,0.0,1.0,197,0,0,9,1,0,0.3333333333333333,0.0,0,0
80427506,vickysot,0.24742268041237114,26.125,24,0.0,4.0,97,0,0,8,0,0,0.0,0.0,0,0
