username,frequency,avg_message_length,total_messages,url_ratio,repetition_ratio,time_in_channel,suspicious_links,generic_name,is_bot,collection_date,data_version
Emili_23_0,27.49,57.4,54,0.341,0.391,41.0,0,0,0,2025-10-20,1.0
karolmarinaa_1,16.81,107.6,24,0.084,0.092,158.6,0,0,0,2025-10-20,1.0
UltraYT739_2,14.19,60.2,30,0.175,0.3,96.7,0,0,0,2025-10-20,1.0
viewer5669_3,124.38,31.6,270,0.54,0.878,26.6,0,1,1,2025-10-20,1.0
Matthewbpv_4,14.58,88.9,6,0.258,0.311,51.7,0,0,0,2025-10-20,1.0
test2304_5,164.76,13.4,182,0.993,0.779,25.9,1,1,1,2025-10-20,1.0
bot453_6,193.58,28.5,180,0.708,0.763,67.2,1,1,1,2025-10-20,1.0
test5039_7,108.15,39.8,54,0.89,0.856,93.3,1,1,1,2025-10-20,1.0
N0kc_8,26.12,36.5,26,0.235,0.395,168.6,0,0,0,2025-10-20,1.0
Shadow_264_9,29.85,31.5,37,0.016,0.012,27.9,0,0,0,2025-10-20,1.0
ProTTV_10,20.8,42.9,60,0.315,0.458,31.6,0,0,0,2025-10-20,1.0
foxito1995_11,8.01,103.4,22,0.173,0.349,156.8,0,0,0,2025-10-20,1.0
MasterPlays460_12,16.68,60.8,17,0.089,0.122,160.4,0,0,0,2025-10-20,1.0
Pro2025_13,19.52,99.4,16,0.167,0.283,32.9,0,0,0,2025-10-20,1.0
guest4983_14,37.61,55.4,42,0.576,0.661,68.2,1,1,1,2025-10-20,1.0
Andresjr_11_15,20.19,28.4,11,0.143,0.261,34.8,0,0,0,2025-10-20,1.0
test3015_16,32.63,39.6,40,0.458,0.647,25.6,0,1,1,2025-10-20,1.0
DarkTTV42_17,20.53,66.7,41,0.047,0.316,20.9,0,0,0,2025-10-20,1.0
mariarosa21092000_18,28.39,56.2,43,0.447,0.54,77.2,1,0,1,2025-10-20,1.0
Mega2024115_19,24.71,57.8,41,0.265,0.423,99.4,0,0,0,2025-10-20,1.0
Juniorxito1999_20,24.97,105.4,11,0.081,0.114,56.1,0,0,0,2025-10-20,1.0
RDVS30_21,32.1,48.4,45,0.532,0.587,85.6,0,0,1,2025-10-20,1.0
LadyLive64_22,32.97,42.0,48,0.528,0.56,30.1,0,0,1,2025-10-20,1.0
patico7_23,5.53,65.3,27,0.04,0.392,53.8,0,0,0,2025-10-20,1.0
player975_24,86.11,28.1,43,0.547,0.612,62.4,1,1,1,2025-10-20,1.0
SuperStream685_25,27.66,42.9,19,0.513,0.58,42.8,1,0,1,2025-10-20,1.0
user5215_26,26.07,44.6,39,0.503,0.674,43.1,1,1,1,2025-10-20,1.0
UltraPro_27,32.55,32.5,36,0.468,0.671,54.8,1,0,1,2025-10-20,1.0
MegaLive_28,28.14,94.7,13,0.1,0.014,151.3,0,0,0,2025-10-20,1.0
Euph96_29,19.98,66.2,17,0.067,0.085,79.6,0,0,0,2025-10-20,1.0
GamerXD_30,21.58,36.0,32,0.383,0.296,86.8,0,0,0,2025-10-20,1.0
soia09_31,19.87,78.8,13,0.194,0.134,166.3,0,0,0,2025-10-20,1.0
guest1294_32,97.87,13.3,266,0.892,0.664,63.9,1,1,1,2025-10-20,1.0
Suty77x_33,25.4,80.8,21,0.151,0.307,159.2,0,0,0,2025-10-20,1.0
user1310_34,183.74,22.0,118,0.505,0.914,97.1,1,1,1,2025-10-20,1.0
rossacuario01_35,10.25,20.8,16,0.084,0.356,174.4,1,0,0,2025-10-20,1.0
Epic__36,32.24,67.9,63,0.151,0.412,54.9,0,0,0,2025-10-20,1.0
bot911_37,38.71,56.4,49,0.449,0.653,66.9,1,1,1,2025-10-20,1.0
rossacuario01_38,23.15,77.5,5,0.122,0.074,71.1,0,0,0,2025-10-20,1.0
Crazy2025503_39,34.54,51.9,47,0.582,0.648,35.8,0,0,1,2025-10-20,1.0
LordXD_40,26.75,75.2,31,0.272,0.286,128.3,0,0,0,2025-10-20,1.0
Darcka0_41,20.78,43.6,23,0.005,0.061,25.7,0,0,0,2025-10-20,1.0
MegaLive_42,28.22,50.1,28,0.223,0.364,108.5,0,0,0,2025-10-20,1.0
player566_43,64.3,19.9,44,0.591,0.967,54.2,1,1,1,2025-10-20,1.0
LadyYT_44,26.84,46.0,45,0.482,0.596,25.6,1,0,1,2025-10-20,1.0
bot117_45,103.57,22.8,245,0.675,0.778,76.9,1,1,1,2025-10-20,1.0
abigail_JIJIJI_46,7.55,74.7,49,0.17,0.018,145.4,0,0,0,2025-10-20,1.0
UltraPlays_47,144.47,14.6,293,0.772,0.652,107.8,1,0,1,2025-10-20,1.0
Ysatime2_48,25.71,61.5,4,0.096,0.305,173.2,0,0,0,2025-10-20,1.0
FireLive_49,24.21,48.0,59,0.312,0.236,130.5,0,0,0,2025-10-20,1.0
viewer2704_50,184.28,16.1,48,0.939,0.748,67.3,0,1,1,2025-10-20,1.0
Saraivargas_51,26.33,61.5,28,0.006,0.063,119.1,0,0,0,2025-10-20,1.0
viewer527_52,25.2,39.1,39,0.558,0.559,59.7,1,1,1,2025-10-20,1.0
Aleadrije_53,11.86,80.6,7,0.003,0.007,79.3,0,0,0,2025-10-20,1.0
maffe900_54,25.12,57.0,47,0.592,0.503,33.7,0,0,1,2025-10-20,1.0
Carlos_pl2_55,9.81,40.4,16,0.169,0.03,91.9,0,0,0,2025-10-20,1.0
Shadow2025_56,18.94,59.2,8,0.234,0.146,135.1,0,0,0,2025-10-20,1.0
player195_57,95.73,38.1,40,0.709,0.968,68.0,1,1,1,2025-10-20,1.0
Ladyzz120_58,29.4,57.5,8,0.148,0.35,160.8,1,0,0,2025-10-20,1.0
